"Source","Test","Length","Time"
"auto","h0","1000","11.089999961853028"
"auto","h4","2000","22.519999980926514"
"auto","h5","500","5.980000019073486"
"auto","h1","10","0.7399999618530273"
"auto","h2","1500","38.72999992370605"
"auto","h3","1000","24.409999942779542"
"auto","h0","1000","10.780000019073487"
"auto","h0","2000","21.69000005722046"
"auto","h8","1000","9.95"
"auto","h7","500","5.179999923706054"
"auto","h3","1000","24.739999961853027"
"auto","h0","3000","32.56999998092651"
"auto","h3","2000","49.47999992370605"
"auto","h6","3000","31.49000005722046"
"auto","h6","100","1.6"
"auto","h5","50","1.2199999809265136"
"auto","h4","1500","15.980000019073486"
"auto","h9","100","1.5300000190734864"
"auto","h6","10","0.7"
"auto","h8","3000","27.130000019073485"
"auto","h9","1500","14.15999994277954"
"auto","h4","100","1.5300000190734864"
"auto","h0","10","0.8900000572204589"
"auto","h6","10","0.55"
"auto","h9","3000","28.95"
"auto","h4","1000","11.169999980926514"
"auto","h5","50","1.15"
"auto","h6","2000","21.35999994277954"
"auto","h1","100","1.6"
"auto","h7","100","1.5699999809265137"
"auto","h3","500","12.019999980926514"
"auto","h8","1500","14.2"
"auto","h7","1000","9.539999961853027"
"auto","h0","50","1.259999942779541"
"auto","h7","100","1.8399999618530274"
"auto","h4","100","2.35"
"auto","h1","3000","32.5"
"auto","h7","2000","18.989999961853027"
"auto","h5","1000","11.519999980926514"
"auto","h9","3000","26.840000057220458"
"auto","h3","500","12.229999923706055"
"auto","h2","500","12.15"
"auto","h5","10","0.7"
"auto","h3","10","0.940000057220459"
"auto","h9","100","1.4"
"auto","h8","1500","13.669999980926514"
"auto","h2","500","12.119999980926513"
"auto","h0","1500","15.619999980926513"
"auto","h5","3000","31.719999980926513"
"auto","h4","50","0.990000057220459"
"auto","h7","500","5.1"
"auto","h8","2000","18.30999994277954"
"auto","h0","1000","10.529999923706054"
"auto","h9","10","0.75"
"auto","h4","500","5.910000038146973"
"auto","h1","1000","10.560000038146972"
"auto","h5","3000","32.34000005722046"
"auto","h0","3000","30.569999980926514"
"auto","h8","3000","27.010000038146973"
"auto","h2","50","1.9299999237060548"
"auto","h7","1500","14.129999923706055"
"auto","h7","2000","18.869999980926515"
"auto","h0","1500","17.05999994277954"
"auto","h3","3000","72.3"
